"Timestamp","1. Sugu","2. Vanus","3. Teie roll ÕIS2 kasutajana.","4. Millises TLÜ instituudis õpite?","5. Kui tihti külastate ÕIS2 keskkonda?","6. Millist seadet kasutate kõige enam ÕIS2 külastamiseks?","7. Teie rahulolu ÕIS2 kasutajaliidesega.","8. Millist ÕIS2 sisselogimise viisi kõige enam kasutate?","9. Millisest sisselogimise viisist tunnete puudust?","10. Kas ÕIS2 menüüs olevad jaotused on Teie jaoks selgesti mõistetavad?","11. Millised on ÕIS2 menüü puudused Teie jaoks?","12. Kuidas otsite registreeritavat ainet?","13. Millist viisi kasutate kõige enam tunniplaani vaatamiseks?","14. Kas Teie jaoks on ÕIS2 õpingukava vaatamise vorm lihtsasti arusaadav?","15. Mis on tekitanud Teie jaoks ÕIS2 õpingukava vormis probleeme?","16. Milliseid ÕIS2 õpingukavas olevate ainete infolinke olete kasutanud?"
"2019/04/03 11:00:32 am GMT+3","Mees","22","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Nutitelefon","3","Ülikooli konto","ei tunnegi ","Jah","asd","Aine nimetuse järgi","ASIO mobiilversioon","Jah","asd","ei ole kasutanud"
"2019/04/03 11:01:23 am GMT+3","Mees","21","Üliõpilane","Digitehnoloogiate instituut","kord nädalas","Arvuti","3","Ülikooli konto","Sõrmejälje lugejast","Ei","Info, mis on õpingukavas võiks olla kiiremini kättesaadav.","Ainekoodi järgi","ASIO mobiilversioon","Ei","Puudub ülevaade kõikidest ainetest, mida on võimalik võtta","olen kasutanud mõlemaid"
"2019/04/16 5:09:32 pm GMT+3","Mees","24","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Nutitelefon","4","Mobiil-ID","","Jah","","Ainekoodi järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 6:22:30 pm GMT+3","Ei soovi vastata","23","Üliõpilane","Balti filmi, meedia, kunstide ja kommunikatsiooni instituut","enam kui kord nädalas","Nutitelefon","4","Ülikooli konto","","Jah","","Aine nimetuse järgi","ASIO mobiilversioon","Ei","Ei saa võrrelda aineid","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 7:24:58 pm GMT+3","Mees","22","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Nutitelefon","3","Ülikooli konto","","Jah","","Ainekoodi järgi","ASIO","Jah","",""
"2019/04/16 7:33:44 pm GMT+3","Mees","20","Üliõpilane","Digitehnoloogiate instituut","kord kuus","Arvuti","3","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi;Õppejõu nime järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 7:37:08 pm GMT+3","Mees","20","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Arvuti","3","Ülikooli konto","","Ei","Õpingukava detailide vaatamine ja ainetesse kuulajaks registreerimine","Ainekoodi järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 8:37:33 pm GMT+3","Mees","21","Üliõpilane","Digitehnoloogiate instituut","kord nädalas","Arvuti","3","Ülikooli konto","","Jah","","Ainekoodi järgi","ASIO mobiilversioon","Ei","segane ","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 8:54:19 pm GMT+3","Naine","21","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Arvuti","4","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO","Ei","vahepeal on keeruline aru saada, ega mõni aine teisega kokku ei jookse","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 9:07:10 pm GMT+3","Naine","26","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Arvuti","4","Ülikooli konto","","Jah","","Ainekoodi järgi","ASIO","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 9:20:05 pm GMT+3","Naine","20","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Nutitelefon","3","Ülikooli konto","","Jah","mobiiliversioon võiks olla ikkagi või app","Aine nimetuse järgi","ASIO","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 9:37:37 pm GMT+3","Naine","20","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Nutitelefon","4","Ülikooli konto","","Jah","tunniplaan võiks olla korrektne, kodutööd võiks olla, tööde eest saadud punktide tabel","Ainekoodi järgi;Aine nimetuse järgi","kasutan ASIO mobiiliversiooni ja ÕIS2 koos, kuna ÕIS2 on ainuke millel saab tunniplaani eksportida (ehk kalendrisse)","Jah","esimene kord oli natukene segane, kuid selgeks saab siis on päris loogiline","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/16 11:56:01 pm GMT+3","Mees","22","Üliõpilane","Digitehnoloogiate instituut","enam kui kord nädalas","Nutitelefon","4","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 12:14:08 am GMT+3","Naine","22","Üliõpilane","Digitehnoloogiate instituut","kord päevas","Nutitelefon","4","Ülikooli konto","","Jah","","Ainekoodi järgi;Aine nimetuse järgi","ASIO mobiilversioon","Jah","","kursuseprogrammi linke;kursuse veebilinke"
"2019/04/17 9:41:15 am GMT+3","Mees","20","Üliõpilane","Digitehnoloogiate instituut","kord nädalas","Nutitelefon","4","Ülikooli konto","","Jah","","Ainekoodi järgi","ASIO","Jah","","kursuseprogrammi linke;kursuse veebilinke"
